Aale,Aa|le
Affen,Af|fen
Albatrosse,Al|ba|tros|se
Alligatoren,Al|li|ga|to|ren
Ameisen,A|mei|sen
Amseln,Am|seln
Amöben,A|mö|ben
Auerhähne,Au|er|häh|ne
Austern,Aus|tern
Bachen,Ba|chen
Barsche,Bar|sche
Baumhöhlenlaubfrösche,Baum|höh|len|laub|frö|sche
Bienen,Bie|nen
Blattläuse,Blatt|läu|se
Blaumeisen,Blau|mei|sen
Blauwale,Blau|wa|le
Blindschleichen,Blind|schlei|chen
Bobtails,Bob|tails
Borstenwürmer,Bors|ten|wür|mer
Braunbären,Braun|bä|ren
Brillenschlangen,Bril|len|schlan|gen
Buchfinken,Buch|fin|ken
Bulldoggen,Bull|dog|gen
Bullen,Bul|len
Bären,Bä|ren
Chow-Chows,Chow-|Chows
Clownfische,Clown|fi|sche
Dachse,Dach|se
Darwinfinken,Dar|win|fin|ken
Delfine,Del|fi|ne
Delphine,Del|phi|ne
Dingos,Din|gos
Dobermänner,Do|ber|män|ner
Dohlen,Doh|len
Drosseln,Dros|seln
Eichhörnchen,Eich|hörn|chen
Eidechsen,Ei|dech|sen
Eisbären,Eis|bä|ren
Elche,El|che
Elefanten,E|le|fan|ten
Elstern,Els|tern
Enten,En|ten
Eulen,Eu|len
Falken,Fal|ken
Feuerquallen,Feu|er|qual|len
Fledermäuse,Fle|der|mäu|se
Fliegen,Flie|gen
Flundern,Flun|dern
Flusskrebse,Fluss|kreb|se
Forellen,Fo|rel|len
Frischlinge,Frisch|lin|ge
Fruchtfliegen,Frucht|flie|gen
Füchse,Füch|se
Garnelen,Gar|ne|len
Gazellen,Ga|zel|len
Gelbbauchunken,Gelb|bauch|un|ken
Giraffen,Gi|raf|fen
Gnus,Gnus
Goldfische,Gold|fi|sche
Grabwespen,Grab|wes|pen
Graugänse,Grau|gänse
Grauwale,Grau|wa|le
Habichte,Ha|bich|te
Hähne,Häh|ne
Haie,Hai|e
Haifische,Hai|fi|sche
Hammerhaie,Ham|mer|hai|e
Hasen,Ha|sen
Hausgänse,Haus|gän|se
Heilbutte,Heil|but|te
Hengste,Hengs|te
Heringe,He|rin|ge
Hermeline,Her|me|li|ne
Heuschrecken,Heu|schre|cken
Hirsche,Hir|sche
Hornissen,Hor|nis|sen
Hornkieselschwämme,Horn|kie|sel|schwäm|me
Hovawarte,Ho|va|war|te
Hühner,Hüh|ner
Hummeln,Hum|meln
Hunde,Hun|de
Huskys,Hus|kys
Hyänen,Hy|ä|nen
Höckerschwäne,Hö|cker|schwä|ne
Kaimane,Kai|ma|ne
Kälber,Käl|ber
Katzen,Kat|zen
Kellerasseln,Kel|ler|as|seln
Kiebitze,Kie|bit|ze
Knurrhähne,Knurr|häh|ne
Kobras,Ko|bras
Kohlmeisen,Kohl|mei|sen
Kolkraben,Kolk|ra|ben
Kraniche,Kra|ni|che
Kreuzspinnen,Kreuz|spin|nen
Krokodile,Kro|ko|di|le
Krähen,Krä|hen
Kuckucke,Ku|ku|cke
Kühe,Kü|he
Kängurus,Kän|gu|rus
Känguruhs,Kän|gu|ruhs
Lachse,La|chse
Lämmer,Läm|mer
Langusten,Lan|gus|ten
Larven,Lar|ven
Laufhunde,Lauf|hun|de
Lemminge,Lem|min|ge
Libellen,Li|bel|lee
Luchse,Lu|chse
Lurche,Lur|che
Löwen,Lö|wen
Löwinnen,Lö|win|nen
Maden,Ma|den
Maultiere,Maul|tie|re
Maulwürfe,Maul|wür|fe
Mäuse,Mäu|se
Miesmuscheln,Mies|mu|scheln
Milane,Mi|la|ne
Milben,Mil|ben
Molche,Mol|che
Mooskühe,Moos|kü|he
Motten,Mot|ten
Mulis,Mu|lis
Muränen,Mu|rä|nen
Muscheln,Mu|scheln
Möwen,Mö|wen
Nacktschnecken,Nackt|schne|cken
Nattern,Nat|tern
Nerze,Ner|ze
Nesseltiere,Nes|sel|tie|re
Ochsen,Och|sen
Oktopusse,Ok|to|pus|se
Orkas,Or|kas
Ozelots,O|ze|lots
Papageien,Pa|pa|gei|en
Pelikane,Pe|li|ka|ne
Pfer|de,Pfer|de
Pinguine,Pin|gu|ine
Piranhas,Pi|ran|has
Pythons,Py|thons
Quallen,Qual|len
Raben,Ra|ben
Ratten,Rat|ten
Raupen,Rau|pen
Regenwürmer,Re|gen|wür|mer
Rehe,Re|he
Rehböcke,Reh|bö|cke
Renken,Ren|ken
Rennmäuse,Renn|mäu|se
Rinder,Rin|der
Rippenquallen,Rip|pen|qual|len
Rohrdommeln,Rohr|dom|meln
Rotbarsche,Rot|bar|sche
Rothirsche,Rot|hir|sche
Rotmilane,Rot|mi|la|ne
Röhrenwürmer,Röh|ren|wür|mer
Säue,Säu|e
Schaben,Scha|ben
Schafe,Scha|fe
Schakale,Scha|ka|le
Schellfische,Schell|fi|sche
Schildkröten,Schild|krö|ten
Schlangen,Schlan|gen
Schmetterlinge,Schmet|ter|lin|ge
Schnabeltiere,Schna|bel|tie|re
Schnecken,Schne|cken
Schollen,Schol|len
Schwäne,Schwä|ne
Schwertfische,Schwert|fi|sche
Schäferhunde,Schä|fer|hun|de
Seehechte,See|hech|te
Seesterne,See|ster|ne
Seewespen,See|wes|pen
Siamkatzen,Si|am|kat|zen
Skorpione,Skor|pi|o|ne
Spinnen,Spin|nen
Steinbutts,Stein|butts
Strandkrabben,Strand|krab|ben
Störe,Stö|re
Tauben,Tau|ben
Thunfische,Thun|fi|sche
Tintenfische,Tin|ten|fi|sche
Uhus,U|hus
Wachsmotten,Wachs|mot|ten
Wale,Wa|le
Walfische,Wal|fi|sche
Wallabys,Wal|la|bys
Wanzen,Wan|zen
Waschbären,Wasch|bä|ren
