Welle,Wel|le
Stufenwelle,Stu|fen|wel|le
Achse,Ach|se
Gehäuse,Ge|häu|se
Gussgehäuse,Guss|ge|häu|se
Schweißgehäuse,Schweiß|ge|häu|se
Lager,La|ger
Festlager,Fest|la|ger
Loslager,Los|la|ger
Wälzlager,Wälz|la|ger
Gleitlager,Gleit|la|ger
Schraube,Schrau|be
Gewinde,Ge|win|de
Niet,Niet
Schweißnaht,Schweiß|naht
Zahnrad,Zahn|rad
Schneckenrad,Schne|cken|rad
Wälzkreis,Wälz|kreis
Verzahnung,Ver|zah|nung
Fase,Fa|se
Kernlochbohrung,Kern|loch|boh|rung
Zentrierbohrung,Zen|trier|boh|rung
Lagersitz,La|ger|sitz
O-Ring,O-|Ring
Unterlegscheibe,Un|ter|leg|schei|be
Dichtung,Dich|tung
Papierdichtung,Pa|pier|dich|tung
Radialwellendichtring,Ra|di|al|wel|len|dicht|ring
Hohlniet,Hohl|niet
Spreizniet,Spreiz|niet
Schweißverbindung,Schweiß|ver|bin|dung
Bolzen,Bol|zen
Stift,Stift
Feder,Fe|der
Spiralfeder,Spi|ral|fe|der
Tellerfeder,Tel|ler|fe|der
Torsionsfeder,Tor|si|ons|fe|der
Wellenfeder,Wel|len|fe|der
Parabelfeder,Pa|ra|bel|fe|der
Blattfeder,Blatt|fe|der
Biegefeder,Bie|ge|fe|der
Kupplung,Kupp|lung
Stirnrad,Stirn|rad
Zahnstange,Zahn|stan|ge
Kegelrad,Ke|gel|rad
Kronenrad,Kro|nen|rad
Ellipsenrad,El|lip|sen|rad
Schwungrad,Schwung|rad
Riementrieb,Rie|men|trieb
Flachriemen,Flach|rie|men
Keilriemen,Keil|rie|men
Kettentrieb,Ket|ten|trieb
Zahnriementrieb,Zahn|rie|men|trieb
Nockenwelle,No|cken|wel|le
Kurbelwelle,Kur|bel|wel|le
Seiltrieb,Seil|trieb
Rolle,Rol|le
Flaschenzug,Fla|schen|zug
Riemenscheibe,Rie|men|schei|be
Spannrolle,Spann|rol|le
Ausrückgetriebe,Aus|rück|ge|trie|be
Stufenscheibe,Stu|fen|schei|be
Kegelscheibe,Ke|gel|schei|be
