abzüglich,ab|züg|lich
an,an
angesichts,an|ge|sichts
anhand,an|hand
anstatt,an|statt
auf,auf
aufgrund,auf|grund
aus,aus
ausschließlich,aus|schließ|lich
ausweislich,aus|weis|lich
außer,au|ßer
außerhalb,au|ßer|halb
bar,bar
behufs,be|hufs
bei,bei
bezüglich,be|züg|lich
bezüglich,be|züg|lich
bis,bis
dank,dank
dank,dank
diesseits,dies|seits
durch,durch
einschließlich,ein|schließ|lich
einschließlich,ein|schließ|lich
entgegen,ent|ge|gen
entlang,ent|lang
entsprechend,ent|sprech|end
fern,fern
für,für
gegen,ge|gen
gegenüber,ge|gen|ü|ber
gemäß,ge|mäß
hinter,hin|ter
in,in
infolge,in|fol|ge
infolge,in|fol|ge
inmitten,in|mit|ten
innerhalb,in|ner|halb
je,je
jenseits,jen|seits
kraft,kraft
laut,laut
laut,laut
längs,längs
mit,mit
mithilfe,mit|hil|fe
mitsamt,mit|samt
mittels,mit|tels
nach,nach
nahe,na|he
neben,ne|ben
nebst,nebst
nächst,nächst
ob,ob
oberhalb,o|ber|halb
ohne,oh|ne
seit,seit
seitens,sei|tens
statt,statt
trotz,trotz
um,um
unbeachtet,un|be|ach|tet
unbeschadet,un|be|scha|det
unerachtet,un|er|ach|tet
ungeachtet,un|ge|ach|tet
unter,un|ter
unterhalb,un|ter|halb
unweit,un|weit
von,von
vor,vor
wegen,we|gen
wider,wi|der
während,wäh|rend
während,wäh|rend
zeit,zeit
zu,zu
zugunsten,zu|guns|ten
zwischen,zwi|schen
über,ü|ber
