bummeln,bum|meln
fahren,fah|ren
flanieren,fla|nie|ren
fliegen,flie|gen
gallopieren,gal|lo|pie|ren
gehen,ge|hen
humpeln,hum|peln
hüpfen,hüp|fen
joggen,jog|gen
klettern,klet|tern
kriechen,krie|chen
laufen,lau|fen
reiten,rei|ten
rennen,ren|nen
schleichen,schlei|chen
schweben,schwe|ben
schwimmen,schwim|men
segeln,se|geln
spazieren,spa|zie|ren
springen,sprin|gen
sprinten,sprin|ten
spurten,spur|ten
stapfen,stap|fen
stolpern,stol|pern
surfen,sur|fen
tanzen,tan|zen
tauchen,tau|chen
taumeln,tau|meln
traben,tra|ben
trampeln,tram|peln
treiben,trei|ben
tänzeln,tän|zeln
überholen,ü|ber|ho|len
überqueren,ü|ber|que|ren
überrunden,ü|ber|run|den
