backte,back|te
backten,back|ten
backtest,back|test
backtet,back|tet
bestrich,be|strich
bestrichen,be|strich|en
bestrichst,be|strichst
bestricht,be|stricht
dickte,dick|te
dickten,dick|ten
dicktest,dick|test
dicktet,dick|tet
dünstete,düns|te|te
dünsteten,düns|te|ten
dünstetest,düns|te|test
dünstetet,düns|te|tet
filetierte,fil|le|tier|te
filetierten,fi|le|tier|ten
filetiertest,fi|le|tier|test
filetiertet,fi|le|tier|tet
flambierte,flam|bier|te
flambierten,flam|bier|ten
flambiertest,flam|bier|test
flambiertet,flam|bier|tet
garte,gar|te
garten,gar|ten
gartest,gar|test
gartet,gar|tet
goss,goss
gossen,gos|sen
gossest,gos|sest
gosst,gosst
grillte,grill|te
grillten,gril|ten
grilltest,grill|test
grilltet,grill|tet
heizte,heiz|te
heizten,heiz|ten
heiztest,heiz|test
hob,hob
hoben,ho|ben
hobst,hobst
hobt,hobt
karamellisierte,ka|ra|mel|li|sier|te
karamellisierten,ka|ra|mel|li|sier|ten
karamellisiertest,ka|ra|mel|li|sier|test
karamellisiertet,ka|ra|mel|li|sier|tet
kochte,koch|te
kochten,koch|ten
kochtest,koch|test
kochtet,koch|tet
mixte,mix|te
mixten,mix|ten
mixtest,mix|test
mixtet,mix|tet
nahm,nahm
nahmen,nah|men
nahmst,nahmst
nahmt,nahmt
pellte,pell|te
pellten,pell|ten
pelltest,pell|test
pelltet,pell|tet
probierte,pro|bier|te
probierten,pro|bier|ten
probiertest,pro|bier|test
probiertet,pro|bier|tet
putzte,putz|te
putzten,putz|ten
putztest,putz|test
putztet,putz|tet
pürierte,pü|rier|te
pürierten,pü|rier|ten
püriertest,pü|rier|test
püriertet,pü|rier|tet
ruhte,ruh|te
ruhten,ruh|ten
ruhtest,ruh|test
ruhtet,ruh|tet
rührte,rühr|te
rührten,rühr|ten
rührtest,rühr|test
rührtet,rühr|tet
salzte,salz|te
salzten,salz|ten
salztest,salz|test
salztet,salz|tet
schichtete,schich|te|te
schichteten,schich|te|ten
schichtetest,schich|te|test
schichtetet,schich|te|tet
schlug,schlug
schlugen,schlu|gen
schlugst,schlugst
schlugt,schlugt
schmeckte,schmeck|te
schmeckten,schmeck|ten
schmecktest,schmeck|test
schmecktet,schmeck|tet
schwitzte,schwitz|te
schwitzten,schwitz|ten
schwitztest,schwitz|test
schwitztet,schwitz|tet
schälte,schäl|te
schälten,schäl|ten
schältest,schäl|test
schältet,schäl|tet
setzte,setz|te
setzten,setz|ten
setztest,setz|test
setztet,setz|tet
trocknete,trock|ne|te
trockneten,trock|ne|ten
trocknetest,trock|ne|test
trocknetet,trock|ne|tet
tropfte,tropf|te
tropften,tropf|ten
tropftest,tropf|test
tropftet,tropf|tet
weckte,weck|te
weckten,weck|ten
wecktest,weck|test
wecktet,weck|tet
wusch,wusch
wuschen,wu|schen
wuschst,wuschst
wuscht,wuscht
wärmte,wärm|te
wärmten,wärm|ten
wärmtest,wärm|test
wärmtet,wärm|tet
würzte,würz|te
würzten,würz|ten
würztest,würz|test
würztet,würz|tet
