Aaron,Aa|ron
Ahmed,Ah|med
Albert,Al|bert
Alex,A|lex
Alexander,A|lex|an|der
Alexandra,A|lex|an|dra
Alfred,Al|fred
Andrea,An|dre|a
Andreas,An|dre|as
Anna,An|na
Anne,An|ne
Ansgar,Ans|gar
Armin,Ar|min
Astrid,As|trid
Anatoli,A|na|to|li
Barney,Bar|ney
Barry,Bar|ry
Basti,Bas|ti
Bastian,Bas|ti|an
Beate,Be|a|te
Bernd,Bernd
Berndt,Berndt
Bert,Bert
Berta,Ber|ta
Bertold,Ber|told
Bill,Bill
Brigitte,Bri|git|te
Britta,Brit|ta
Brunhilde,Brun|hil|de
Bruno,Bru|no
Caecilia,Cae|ci|li|a
Caesar,Cae|sar
Caitlin,Cait|lin
Caleb,Ca|leb
Calvin,Cal|vin
Carlo,Car|lo
Carmen,Car|men
Carola,Ca|ro|la
Caspar,Cas|par
Cecile,Ce|cile
Cedric,Ced|ric
Celeste,Ce|leste
Christian,Chris|ti|an
Christina,Chris|ti|na
Claudia,Clau|di|a
Cordula,Cor|du|la
Dagmar,Dag|mar
Dagobert,Da|go|bert
Dana,Da|na
Daniel,Da|ni|el
Daniela,Da|nie|la
Darius,Da|ri|us
David,Da|vid
Deacon,Dea|con
Debora,De|bo|ra
Denise,De|nise
Dennis,Den|nis
Diana,Di|a|na
Dieter,Die|ter
Dimitrij,Di|mi|trij
Dirk,Dirk
Erich,E|rich
Erwin,Er|win
Edeltraut,E|del|traut
Esther,Es|ther
Erhardt,Er|hardt
Eberhardt,E|ber|hardt
Eileen,Ei|leen
Erika,E|ri|ka
Erik,E|rik
Eike,Ei|ke
Elena,E|le|na
Elisabeth,E|li|sa|beth
Emanuela,E|ma|nu|e|la
Elfriede,El|frie|de
Enrico,En|ri|co
Franz,Franzxs
Ferdinand,Fer|di|nand
Felix,Fe|lix
Fabian,Fa|bi|an
Frederik,Fre|de|rik
Faysal,Fay|sal
Farhad,Far|had
Felice,Fe|li|ce
Frederike,Fre|de|ri|ke
Franziska,Fran|zis|ka
Freya,Frey|a
Frauke,Frau|ke
Fiona,Fi|o|na
Frieda,Frie|da
Fabienne,Fa|bi|enne
Gustav,Gus|tav
Gerald,Ge|rald
Gregor,Gre|gor
Günther,Gün|ther
Guido,Gui|do
Gerd,Gerd
Gabriel,Ga|bri|el
Gerhard,Ger|hard
Geraldine,Ge|ral|dine
Gundula,Gun|du|la
Gabriela,Ga|bri|e|la
Gina,Gi|na
Grete,Gre|te
Gudrun,Gu|drun
Gisela,Gi|se|la
Hans,Hans
Harald,Ha|rald
Herbert,Her|bert
Harry,Har|ry
Hubert,Hu|bert
Helmut,Hel|mut
Hartmut,Hart|mut
Hermine,Her|mi|ne
Hannah,Han|nah
Hildegard,Hil|de|gard
Heidi,Hei|di
Hedwig,Hed|wig
Helena,He|le|na
Halina,Ha|li|na
Henriette,Hen|ri|et|te
Igor,I|got
Ingo,In|go
Ian,I|an
Ingolf,In|golf
Ilja,Il|ja
Immo,Im|mo
Ingmar,Ing|mar
Ida,I|da
Ilse,Il|se
Ina,I|na
Inga,In|ga
Iris,I|ris
Isabelle,I|sa|belle
Isabella,I|sa|bel|la
Irene,I|re|ne
Julia,Ju|lia
Janette,Ja|nette
Jessica,Jes|si|ca
Jelena,Je|le|na
Janice,Ja|nice
Jule,Ju|le
Jennifer,Jen|ni|fer
Jana,Ja|na
Jasmin,Jas|min
Janine,Ja|nine
Ju|dith
Jutta,Jut|ta
Jacqueline,Jacque|line
Jerome,Je|rome
Julian,Ju|li|an
Justin,Jus|tin
